Hotel_Name,Hotel_Address,Review_Text,Review_Rating,Tags,Average_Score,Review_Total_Positive_Word_Counts,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews
The Leela Palace Bangalore,23 Airport Road Bangalore 560008 India,"Exceptional spa services and fine dining. Perfect for a romantic getaway or luxury stay.",8.9,"Spa,Dining,Romantic",8.9,138,13,1432
ITC Windsor Bangalore,25 Golf Course Road Bangalore 560052 India,"Excellent business facilities and professional service. The location is convenient for meetings.",8.7,"Business,Professional,Convenient",8.5,129,17,1654
ITC Windsor Bangalore,25 Golf Course Road Bangalore 560052 India,"Beautiful heritage property with modern amenities. The afternoon tea service is delightful.",8.5,"Heritage,Modern,Tea",8.5,124,15,1654
The Oberoi Bangalore,37-39 Mahatma Gandhi Road Bangalore 560001 India,"Centrally located with excellent service. The rooms are spacious and well-appointed.",8.8,"Central,Service,Spacious",8.7,133,16,1789
The Oberoi Bangalore,37-39 Mahatma Gandhi Road Bangalore 560001 India,"Great dining options and professional staff. Perfect for both business and leisure travelers.",8.6,"Dining,Professional,Business",8.7,127,18,1789
Taj West End Bangalore,Race Course Road Bangalore 560001 India,"Beautiful garden setting with colonial charm. The heritage and ambiance are exceptional.",8.9,"Heritage,Garden,Colonial",8.8,141,14,1567
Taj West End Bangalore,Race Course Road Bangalore 560001 India,"Peaceful oasis in the city center. Excellent service and well-maintained facilities.",8.7,"Peaceful,Service,Facilities",8.8,135,16,1567
The Park Bangalore,14/7 Mahatma Gandhi Road Bangalore 560001 India,"Trendy and modern hotel with great nightlife. The rooftop restaurant offers fantastic views.",8.3,"Modern,Nightlife,Rooftop",8.2,119,22,1345
The Park Bangalore,14/7 Mahatma Gandhi Road Bangalore 560001 India,"Stylish rooms and contemporary design. Good location for exploring the city's attractions.",8.1,"Stylish,Contemporary,Location",8.2,114,24,1345
ITC Grand Chola Chennai,63 Mount Road Guindy Chennai 600032 India,"Magnificent luxury hotel with exceptional service. The architecture and interiors are stunning.",9.2,"Luxury,Architecture,Magnificent",9.0,159,10,2134
ITC Grand Chola Chennai,63 Mount Road Guindy Chennai 600032 India,"Outstanding dining options and spa facilities. Perfect for luxury travelers seeking excellence.",9.0,"Dining,Spa,Excellence",9.0,147,12,2134
The Leela Palace Chennai,Adyar Seaface Chennai 600020 India,"Beautiful beachfront location with ocean views. The service and amenities are world-class.",8.9,"Beachfront,Ocean,World-class",8.8,144,13,1678
The Leela Palace Chennai,Adyar Seaface Chennai 600020 India,"Elegant rooms and exceptional hospitality. The seafood restaurant is absolutely outstanding.",8.7,"Elegant,Hospitality,Seafood",8.8,136,15,1678
Taj Coromandel Chennai,37 Mahatma Gandhi Road Chennai 600034 India,"Excellent business hotel with great connectivity. Professional service and modern facilities.",8.6,"Business,Connectivity,Professional",8.4,125,18,1456
Taj Coromandel Chennai,37 Mahatma Gandhi Road Chennai 600034 India,"Comfortable rooms and reliable service. Good location for both business and leisure activities.",8.4,"Comfortable,Reliable,Business",8.4,119,20,1456
The Park Chennai,601 Anna Salai Chennai 600006 India,"Contemporary design with vibrant atmosphere. The rooftop pool and bar are fantastic.",8.2,"Contemporary,Vibrant,Rooftop",8.1,116,23,1234
The Park Chennai,601 Anna Salai Chennai 600006 India,"Modern amenities and stylish interiors. Great location for shopping and entertainment.",8.0,"Modern,Stylish,Shopping",8.1,112,25,1234
Hyatt Regency Chennai,365 Anna Salai Chennai 600018 India,"Reliable international standard with good facilities. The breakfast buffet is impressive.",8.3,"International,Reliable,Breakfast",8.2,121,21,1567
Hyatt Regency Chennai,365 Anna Salai Chennai 600018 India,"Professional service and comfortable accommodations. Convenient location for business travelers.",8.1,"Professional,Comfortable,Business",8.2,115,24,1567
The Oberoi Rajvilas Jaipur,Goner Road Jaipur 303012 India,"Spectacular royal palace experience with exceptional luxury. The architecture is breathtaking.",9.6,"Royal,Palace,Spectacular",9.5,198,4,987
The Oberoi Rajvilas Jaipur,Goner Road Jaipur 303012 India,"Unparalleled service and magnificent gardens. Every moment feels like royal treatment.",9.4,"Royal,Gardens,Unparalleled",9.5,186,5,987
Taj Rambagh Palace Jaipur,Bhawani Singh Road Jaipur 302005 India,"Living in a fairy tale palace with incredible heritage. The dining and service are exceptional.",9.3,"Palace,Heritage,Fairy-tale",9.2,174,7,1456
Taj Rambagh Palace Jaipur,Bhawani Singh Road Jaipur 302005 India,"Magnificent royal experience with world-class amenities. The spa and gardens are divine.",9.1,"Royal,World-class,Divine",9.2,162,9,1456
ITC Rajputana Jaipur,Palace Road Jaipur 302006 India,"Excellent heritage hotel with modern comfort. Great location and professional service.",8.7,"Heritage,Modern,Professional",8.6,131,16,1789
ITC Rajputana Jaipur,Palace Road Jaipur 302006 India,"Beautiful Rajasthani architecture with luxury amenities. The cultural programs are wonderful.",8.5,"Rajasthani,Architecture,Cultural",8.6,127,18,1789
Fairmont Jaipur,2 Riico Kukas Jaipur 302028 India,"Stunning palace-style hotel with exceptional facilities. The spa and dining are outstanding.",8.8,"Palace,Spa,Outstanding",8.7,139,14,1234
Fairmont Jaipur,2 Riico Kukas Jaipur 302028 India,"Beautiful architecture and luxurious accommodations. Perfect for both leisure and business.",8.6,"Architecture,Luxurious,Business",8.7,133,16,1234
Hilton Jaipur,Sector 1 Malviya Nagar Jaipur 302017 India,"Modern luxury hotel with excellent amenities. Great location and professional service.",8.4,"Modern,Luxury,Professional",8.3,122,20,1567
Hilton Jaipur,Sector 1 Malviya Nagar Jaipur 302017 India,"Comfortable rooms and reliable service. Good facilities for business travelers and families.",8.2,"Comfortable,Reliable,Business",8.3,118,22,1567
The Oberoi Grand Kolkata,15 Jawaharlal Nehru Road Kolkata 700013 India,"Historic grandeur with exceptional service. The colonial architecture is magnificent.",9.0,"Historic,Colonial,Magnificent",8.9,148,12,1876
The Oberoi Grand Kolkata,15 Jawaharlal Nehru Road Kolkata 700013 India,"Elegant rooms and outstanding hospitality. The location is perfect for exploring the city.",8.8,"Elegant,Hospitality,Location",8.9,142,14,1876
ITC Sonar Kolkata,JBS Haldane Avenue Kolkata 700046 India,"Excellent business hotel with modern facilities. The executive club and service are top-notch.",8.6,"Business,Modern,Executive",8.4,128,17,1654
ITC Sonar Kolkata,JBS Haldane Avenue Kolkata 700046 India,"Spacious rooms and professional service. Great connectivity and business amenities.",8.4,"Spacious,Professional,Connectivity",8.4,123,19,1654
Taj Bengal Kolkata,34B Belvedere Road Kolkata 700027 India,"Luxury hotel with excellent dining options. The service and ambiance are truly exceptional.",8.8,"Luxury,Dining,Exceptional",8.6,137,15,1432
Taj Bengal Kolkata,34B Belvedere Road Kolkata 700027 India,"Beautiful property with great facilities. Perfect for both business and leisure stays.",8.6,"Beautiful,Facilities,Business",8.6,131,17,1432
Hyatt Regency Kolkata,JA-1 Sector III Salt Lake Kolkata 700098 India,"Modern hotel with good amenities and service. Convenient location with easy airport access.",8.2,"Modern,Amenities,Airport",8.1,116,23,1789
Hyatt Regency Kolkata,JA-1 Sector III Salt Lake Kolkata 700098 India,"Comfortable accommodations and reliable service. Good value for business travelers.",8.0,"Comfortable,Reliable,Value",8.1,112,25,1789
The Lalit Great Eastern Kolkata,1-2-3 Old Court House Street Kolkata 700069 India,"Heritage hotel with character and charm. The restoration and service are commendable.",8.3,"Heritage,Character,Restoration",8.2,121,21,1345
The Lalit Great Eastern Kolkata,1-2-3 Old Court House Street Kolkata 700069 India,"Historic property with modern amenities. Great location in the heart of the city.",8.1,"Historic,Modern,Heart",8.2,117,23,1345
Taj Exotica Resort & Spa Goa,Calwaddo Benaulim Goa 403716 India,"Paradise on earth with stunning beach views. The spa and dining experiences are divine.",9.4,"Beach,Paradise,Divine",9.3,182,6,1567
Taj Exotica Resort & Spa Goa,Calwaddo Benaulim Goa 403716 India,"Luxurious beachfront resort with exceptional service. Perfect for romantic getaways.",9.2,"Beachfront,Romantic,Luxurious",9.3,169,8,1567
The Leela Goa,Mobor Beach Cavelossim Goa 403731 India,"Magnificent beachfront location with world-class amenities. The architecture is breathtaking.",9.1,"Beachfront,World-class,Breathtaking",9.0,158,10,1432
The Leela Goa,Mobor Beach Cavelossim Goa 403731 India,"Outstanding spa and dining facilities. Perfect blend of luxury and natural beauty.",8.9,"Spa,Dining,Natural",9.0,146,12,1432
Grand Hyatt Goa,P.O. Bambolim Goa 403202 India,"Beautiful resort with excellent facilities. Great for families and couples seeking luxury.",8.7,"Resort,Families,Couples",8.5,134,16,1789
Grand Hyatt Goa,P.O. Bambolim Goa 403202 India,"Spacious rooms and multiple dining options. The pool area and gardens are wonderful.",8.5,"Spacious,Dining,Gardens",8.5,128,18,1789
ITC Grand Goa Resort & Spa,Arossim Beach Cansaulim Goa 403712 India,"Serene beachfront location with luxury amenities. The spa treatments are rejuvenating.",8.8,"Beachfront,Serene,Rejuvenating",8.7,141,14,1234
ITC Grand Goa Resort & Spa,Arossim Beach Cansaulim Goa 403712 India,"Excellent facilities for relaxation and recreation. Beautiful property with great service.",8.6,"Relaxation,Recreation,Beautiful",8.7,135,16,1234
Marriott Resort & Spa Goa,Miramar Beach Panaji Goa 403001 India,"Great beachfront location with modern amenities. Perfect for families and beach lovers.",8.3,"Beachfront,Modern,Families",8.2,119,21,1567
Marriott Resort & Spa Goa,Miramar Beach Panaji Goa 403001 India,"Comfortable accommodations and good service. The beach access and pool are excellent.",8.1,"Comfortable,Beach,Pool",8.2,115,23,1567
Budget Inn Delhi,Karol Bagh New Delhi 110005 India,"Clean and comfortable rooms at affordable prices. Great value for budget travelers.",7.2,"Budget,Clean,Affordable",7.1,89,34,567
Budget Inn Delhi,Karol Bagh New Delhi 110005 India,"Basic amenities but good location. Staff is helpful and the price is very reasonable.",7.0,"Basic,Location,Reasonable",7.1,84,38,567
Hotel Shanti Palace Delhi,Paharganj New Delhi 110055 India,"Decent budget option with clean rooms. Good location near railway station for convenience.",7.3,"Budget,Clean,Railway",7.2,91,32,789
Hotel Shanti Palace Delhi,Paharganj New Delhi 110055 India,"Simple but comfortable accommodation. The staff is friendly and helpful for budget travelers.",7.1,"Simple,Comfortable,Friendly",7.2,87,35,789
Hotel Ajanta Mumbai,26 Lansdowne Road Mumbai 400026 India,"Good budget hotel with basic amenities. Clean rooms and helpful staff at reasonable prices.",7.4,"Budget,Basic,Clean",7.3,93,31,654
Hotel Ajanta Mumbai,26 Lansdowne Road Mumbai 400026 India,"Affordable accommodation with decent service. Good location for exploring Mumbai attractions.",7.2,"Affordable,Decent,Location",7.3,88,33,654
Hotel Sea Green Mumbai,145 Marine Drive Mumbai 400020 India,"Great location on Marine Drive with sea views. Good value for money with clean rooms.",7.8,"Marine,Sea-views,Value",7.6,102,28,876
Hotel Sea Green Mumbai,145 Marine Drive Mumbai 400020 India,"Comfortable stay with beautiful ocean views. The location is perfect for sightseeing.",7.6,"Comfortable,Ocean,Sightseeing",7.6,98,30,876
Hotel Presidency Bangalore,Residency Road Bangalore 560025 India,"Central location with good connectivity. Clean rooms and helpful staff at budget prices.",7.5,"Central,Connectivity,Budget",7.4,95,29,543
Hotel Presidency Bangalore,Residency Road Bangalore 560025 India,"Basic but comfortable accommodation. Good value for money with essential amenities.",7.3,"Basic,Comfortable,Essential",7.4,91,32,543
Hotel Saravana Bhavan Chennai,77 Usman Road Chennai 600017 India,"Simple and clean accommodation with good vegetarian food. Great value for budget travelers.",7.6,"Simple,Clean,Vegetarian",7.5,97,27,432
Hotel Saravana Bhavan Chennai,77 Usman Road Chennai 600017 India,"Affordable stay with decent amenities. The location is convenient for local transportation.",7.4,"Affordable,Decent,Transportation",7.5,92,31,432
Hotel Hindusthan International Kolkata,235/1 AJC Bose Road Kolkata 700020 India,"Good business hotel with professional service. Clean rooms and reliable amenities.",7.7,"Business,Professional,Reliable",7.6,99,26,765
Hotel Hindusthan International Kolkata,235/1 AJC Bose Road Kolkata 700020 India,"Comfortable stay with good facilities. Convenient location for business and leisure.",7.5,"Comfortable,Facilities,Convenient",7.6,95,28,765
Hotel Mandovi Goa,D.B. Bandodkar Marg Panaji Goa 403001 India,"Budget-friendly hotel with river views. Clean rooms and helpful staff at good prices.",7.8,"Budget,River-views,Clean",7.7,101,25,543
Hotel Mandovi Goa,D.B. Bandodkar Marg Panaji Goa 403001 India,"Simple accommodation with basic amenities. Good location for exploring Goa attractions.",7.6,"Simple,Basic,Location",7.7,96,27,543
Hotel Clarks Amer Jaipur,Jawaharlal Nehru Marg Jaipur 302017 India,"Good mid-range hotel with decent facilities. Clean rooms and professional service.",7.9,"Mid-range,Decent,Professional",7.8,103,24,678
Hotel Clarks Amer Jaipur,Jawaharlal Nehru Marg Jaipur 302017 India,"Comfortable stay with good amenities. Convenient location for sightseeing and business.",7.7,"Comfortable,Amenities,Sightseeing",7.8,98,26,678
